Team_Id,Team_Name,Mu,Sigma
1101,Abilene Chr,25.0,8.333333333333334
1102,Air Force,32.5003018628272,1.6294816925750761
1103,Akron,32.46057962088218,1.7161453869967558
1104,Alabama,31.456663932240474,1.4808744963112221
1105,Alabama A&M,12.420228154841308,1.6532148143578012
1106,Alabama St,12.855573942772178,1.621252893145319
1107,Albany NY,27.399977256734132,1.5596816192475884
1108,Alcorn St,13.278323526114571,1.6238198909749564
1109,Alliant Intl,25.0,8.333333333333334
1110,American Univ,17.591908460578413,1.6453613642369849
1111,Appalachian St,20.834139081674525,1.6471266740846742
1112,Arizona,37.59514482379495,1.689439032963321
1113,Arizona St,32.9951764658395,1.5259981352404772
1114,Ark Little Rock,25.01234814165323,1.5002458051634926
1115,Ark Pine Bluff,21.032679294334862,1.7710746709358118
1116,Arkansas,31.362771566886053,1.518347194601359
1117,Arkansas St,25.668735993770323,1.5118963884177097
1118,Armstrong St,25.0,8.333333333333334
1119,Army,21.882996749381054,1.5538595278201415
1120,Auburn,22.09664858274055,1.5879869160931777
1121,Augusta,25.0,8.333333333333334
1122,Austin Peay,13.334806197353734,1.7636470606055787
1123,Ball St,22.466427739624912,1.525556884658796
1124,Baylor,32.886753646212135,1.5549022007734545
1125,Belmont,33.742708881265514,1.779882228686056
1126,Bethune-Cookman,18.1477170295608,1.5355568497245962
1127,Binghamton,10.817513061862636,2.0094646312300934
1128,Birmingham So,25.0,8.333333333333334
1129,Boise St,35.10276977832282,1.6022473771614263
1130,Boston College,31.064428662340006,1.512842313135622
1131,Boston Univ,26.070473027289488,1.6730074520139528
1132,Bowling Green,20.359744080333368,1.567737564121396
1133,Bradley,26.7866975224528,1.534760126150612
1134,Brooklyn,25.0,8.333333333333334
1135,Brown,21.94663785723787,1.6036548483210435
1136,Bryant,24.872426225483707,1.5616508268434943
1137,Bucknell,31.762201443610888,1.8525566505910553
1138,Buffalo,21.84594912784284,1.5371651127169843
1139,Butler,36.93470454629075,1.6673480922364148
1140,BYU,31.879099359903794,1.5938283647643394
1141,C Michigan,19.166169865412186,1.5910871532068869
1142,Cal Poly SLO,25.732697451832017,1.5069349383401474
1143,California,34.02109751231756,1.5000380849052868
1144,Campbell,16.851276355286206,1.5616691467979702
1145,Canisius,24.972723095293066,1.5390893117804996
1146,Cent Arkansas,18.790245390597033,1.6328044268818067
1147,Centenary,25.0,8.333333333333334
1148,Central Conn,21.337677639890693,1.5212174213685148
1149,Charleston So,21.870502497103168,1.6667920363356785
